LABEL analytical,local/regional cultural attribution (can vary a lot!),Absolute period,Site,Easting - Longitude,Northing-Latitude,Type of site/context,Region,Country,Artefact type,208Pb/206Pb,207Pb/206Pb,208Pb/204Pb,207Pb/204Pb,206Pb/204Pb
SEALIP/TH/BC/1,Early Bronze Age,1100-900 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base socketed spearhead with bent tip,2.1077,0.85685,38.681,15.725,18.352
SEALIP/TH/BC/2,Early Bronze Age,1100-800 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base O-section undecorated bracelet,2.0964,0.84794,38.739,15.669,18.479
SEALIP/TH/BC/3,Early Bronze Age,1100-800 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base O-section undecorated bracelet,2.0963,0.84788,38.742,15.67,18.481
SEALIP/TH/BC/4,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base O-section undecorated bracelet,2.1076,0.85678,38.67,15.72,18.348
SEALIP/TH/BC/5,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base tanged arrow head,2.0872,0.8431,38.768,15.66,18.574
SEALIP/TH/BC/6,Later Bronze Age,800-500 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base deep D-section undecorated bracelet,2.1049,0.85542,38.669,15.715,18.371
SEALIP/TH/BC/7,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base dual phase fragment,2.1072,0.86165,38.509,15.747,18.275
SEALIP/TH/BC/9,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base T-section undecorated bracelet,2.107,0.86174,38.514,15.752,18.279
SEALIP/TH/BC/10,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base O-section decorated (slashes) bracelet,2.1051,0.85084,38.94,15.739,18.498
SEALIP/TH/BC/11,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base crucible prill,2.115,0.85744,38.812,15.735,18.351
SEALIP/TH/BC/12,Early Iron Age,500-200 BC,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base crucible prill,2.1137,0.85695,38.782,15.723,18.348
SEALIP/TH/BC/13,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base crucible prill,2.0911,0.8358,39.438,15.763,18.86
SEALIP/TH/BC/14,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base crucible prill,2.0905,0.83451,39.519,15.776,18.904
SEALIP/TH/BC/15,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base wire,2.1197,0.85568,38.829,15.674,18.318
SEALIP/TH/BC/16,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,"copper-base knob-shaped fragment, possibly bowl base",2.1051,0.85105,38.923,15.736,18.49
SEALIP/TH/BC/17,Late Iron Age,200 BC - AD 300,Ban Chiang,103.241775,17.404531,cemetery/settlement,Udon Thani Province,Thailand,copper-base unknown flat fragment,2.1073,0.85443,38.873,15.762,18.447
SEALIP/TH/DK/1,Late Iron Age,200 BC - AD 300,Don Klang,102.428432,17.187304,cemetery/settlement,Udon Thani Province,Thailand,copper-base bangle,2.1155,0.85602,38.741,15.676,18.447
SEALIP/TH/DK/2,Late Iron Age,200 BC - AD 300,Don Klang,102.428432,17.187304,cemetery/settlement,Udon Thani Province,Thailand,copper-base wire,2.1116,0.85483,38.82,15.715,18.384
